model,label,AUC,F1,MCC,n_pos,n_total,gene,cohort
Random Forest,CYP2C19_pooled,1.0,1.0,1.0,66,610,CYP2C19,pooled
XGBoost,CYP2C19_pooled,1.0,1.0,1.0,66,610,CYP2C19,pooled
Elastic Net LR,CYP2C19_pooled,1.0,1.0,1.0,66,610,CYP2C19,pooled
Random Forest,CYP2D6_pooled,0.9838,0.7914,0.7691,76,610,CYP2D6,pooled
XGBoost,CYP2D6_pooled,0.9957,0.8889,0.873,76,610,CYP2D6,pooled
Elastic Net LR,CYP2D6_pooled,0.9924,0.8889,0.8742,76,610,CYP2D6,pooled
Random Forest,CYP2C19_SAS,1.0,1.0,1.0,40,294,CYP2C19,SAS
XGBoost,CYP2C19_SAS,1.0,1.0,1.0,40,294,CYP2C19,SAS
Elastic Net LR,CYP2C19_SAS,1.0,1.0,1.0,40,294,CYP2C19,SAS
Random Forest,CYP2C19_EAS,1.0,1.0,1.0,26,316,CYP2C19,EAS
XGBoost,CYP2C19_EAS,1.0,1.0,1.0,26,316,CYP2C19,EAS
Elastic Net LR,CYP2C19_EAS,1.0,0.9811,0.9796,26,316,CYP2C19,EAS
Random Forest,CYP2D6_SAS,0.9899,0.8958,0.8826,53,294,CYP2D6,SAS
XGBoost,CYP2D6_SAS,0.9885,0.8411,0.8058,53,294,CYP2D6,SAS
Elastic Net LR,CYP2D6_SAS,0.9951,0.9174,0.8992,53,294,CYP2D6,SAS
Random Forest,CYP2D6_EAS,0.9506,0.3889,0.3713,23,316,CYP2D6,EAS
XGBoost,CYP2D6_EAS,0.9945,0.8444,0.8328,23,316,CYP2D6,EAS
Elastic Net LR,CYP2D6_EAS,0.9717,0.678,0.6664,23,316,CYP2D6,EAS
