population,gene,drug,phenotype,n_individuals,n_total,pct,recommendation,rationale,severity,needs_action
GIH,CYP2C19,clopidogrel,PM,15,106,14.2,Avoid,Use alternative antiplatelet (prasugrel/ticagrelor),3,True
GIH,CYP2C19,clopidogrel,IM,38,106,35.8,Consider alternative,Reduced activation — consider prasugrel,2,True
GIH,CYP2C19,clopidogrel,NM,53,106,50.0,Normal,Standard dosing,0,False
GIH,CYP2C19,omeprazole,PM,15,106,14.2,Reduce dose,50% dose reduction — increased drug exposure,2,True
GIH,CYP2C19,omeprazole,IM,38,106,35.8,Normal,Standard dosing — monitor response,0,False
GIH,CYP2C19,omeprazole,NM,53,106,50.0,Normal,Standard dosing,0,False
GIH,CYP2C19,escitalopram,PM,15,106,14.2,Reduce dose,50% dose reduction — increased plasma levels,2,True
GIH,CYP2C19,escitalopram,IM,38,106,35.8,Normal,Standard dosing,0,False
GIH,CYP2C19,escitalopram,NM,53,106,50.0,Normal,Standard dosing,0,False
GIH,CYP2C19,voriconazole,PM,15,106,14.2,Avoid,Unpredictable exposure — use alternative antifungal,3,True
GIH,CYP2C19,voriconazole,IM,38,106,35.8,Normal,Standard dosing with TDM,0,False
GIH,CYP2C19,voriconazole,NM,53,106,50.0,Normal,Standard dosing,0,False
GIH,CYP2D6,codeine,PM,25,106,23.6,Contraindicated,No morphine conversion — inadequate analgesia,4,True
GIH,CYP2D6,codeine,IM,19,106,17.9,Use with caution,Reduced conversion — monitor analgesia,1,True
GIH,CYP2D6,codeine,NM,62,106,58.5,Normal,Standard dosing,0,False
GIH,CYP2D6,tamoxifen,PM,25,106,23.6,Avoid,Severely reduced endoxifen — use aromatase inhibitor,3,True
GIH,CYP2D6,tamoxifen,IM,19,106,17.9,Consider alternative,Reduced endoxifen — monitor or switch,2,True
GIH,CYP2D6,tamoxifen,NM,62,106,58.5,Normal,Standard dosing,0,False
GIH,CYP2D6,tramadol,PM,25,106,23.6,Avoid,Reduced efficacy — inadequate analgesia,3,True
GIH,CYP2D6,tramadol,IM,19,106,17.9,Normal,Standard dosing with monitoring,0,False
GIH,CYP2D6,tramadol,NM,62,106,58.5,Normal,Standard dosing,0,False
GIH,CYP2D6,amitriptyline,PM,25,106,23.6,Reduce dose,50% dose reduction — increased plasma levels,2,True
GIH,CYP2D6,amitriptyline,IM,19,106,17.9,Normal,Standard dosing,0,False
GIH,CYP2D6,amitriptyline,NM,62,106,58.5,Normal,Standard dosing,0,False
ITU,CYP2C19,clopidogrel,PM,15,102,14.7,Avoid,Use alternative antiplatelet (prasugrel/ticagrelor),3,True
ITU,CYP2C19,clopidogrel,IM,46,102,45.1,Consider alternative,Reduced activation — consider prasugrel,2,True
ITU,CYP2C19,clopidogrel,NM,41,102,40.2,Normal,Standard dosing,0,False
ITU,CYP2C19,omeprazole,PM,15,102,14.7,Reduce dose,50% dose reduction — increased drug exposure,2,True
ITU,CYP2C19,omeprazole,IM,46,102,45.1,Normal,Standard dosing — monitor response,0,False
ITU,CYP2C19,omeprazole,NM,41,102,40.2,Normal,Standard dosing,0,False
ITU,CYP2C19,escitalopram,PM,15,102,14.7,Reduce dose,50% dose reduction — increased plasma levels,2,True
ITU,CYP2C19,escitalopram,IM,46,102,45.1,Normal,Standard dosing,0,False
ITU,CYP2C19,escitalopram,NM,41,102,40.2,Normal,Standard dosing,0,False
ITU,CYP2C19,voriconazole,PM,15,102,14.7,Avoid,Unpredictable exposure — use alternative antifungal,3,True
ITU,CYP2C19,voriconazole,IM,46,102,45.1,Normal,Standard dosing with TDM,0,False
ITU,CYP2C19,voriconazole,NM,41,102,40.2,Normal,Standard dosing,0,False
ITU,CYP2D6,codeine,PM,19,102,18.6,Contraindicated,No morphine conversion — inadequate analgesia,4,True
ITU,CYP2D6,codeine,IM,17,102,16.7,Use with caution,Reduced conversion — monitor analgesia,1,True
ITU,CYP2D6,codeine,NM,66,102,64.7,Normal,Standard dosing,0,False
ITU,CYP2D6,tamoxifen,PM,19,102,18.6,Avoid,Severely reduced endoxifen — use aromatase inhibitor,3,True
ITU,CYP2D6,tamoxifen,IM,17,102,16.7,Consider alternative,Reduced endoxifen — monitor or switch,2,True
ITU,CYP2D6,tamoxifen,NM,66,102,64.7,Normal,Standard dosing,0,False
ITU,CYP2D6,tramadol,PM,19,102,18.6,Avoid,Reduced efficacy — inadequate analgesia,3,True
ITU,CYP2D6,tramadol,IM,17,102,16.7,Normal,Standard dosing with monitoring,0,False
ITU,CYP2D6,tramadol,NM,66,102,64.7,Normal,Standard dosing,0,False
ITU,CYP2D6,amitriptyline,PM,19,102,18.6,Reduce dose,50% dose reduction — increased plasma levels,2,True
ITU,CYP2D6,amitriptyline,IM,17,102,16.7,Normal,Standard dosing,0,False
ITU,CYP2D6,amitriptyline,NM,66,102,64.7,Normal,Standard dosing,0,False
BEB,CYP2C19,clopidogrel,PM,10,86,11.6,Avoid,Use alternative antiplatelet (prasugrel/ticagrelor),3,True
BEB,CYP2C19,clopidogrel,IM,36,86,41.9,Consider alternative,Reduced activation — consider prasugrel,2,True
BEB,CYP2C19,clopidogrel,NM,40,86,46.5,Normal,Standard dosing,0,False
BEB,CYP2C19,omeprazole,PM,10,86,11.6,Reduce dose,50% dose reduction — increased drug exposure,2,True
BEB,CYP2C19,omeprazole,IM,36,86,41.9,Normal,Standard dosing — monitor response,0,False
BEB,CYP2C19,omeprazole,NM,40,86,46.5,Normal,Standard dosing,0,False
BEB,CYP2C19,escitalopram,PM,10,86,11.6,Reduce dose,50% dose reduction — increased plasma levels,2,True
